iter	Logloss
0	0.6326827592
1	0.5839875939
2	0.5460773671
3	0.51636007
4	0.4940048273
5	0.4751217462
6	0.4592493093
7	0.4461066564
8	0.4372759022
9	0.429309297
10	0.4215347589
11	0.4150248144
12	0.408663018
13	0.4035675722
14	0.3984149162
15	0.3952400526
16	0.3908362848
17	0.3883265553
18	0.3870701433
19	0.3841778183
20	0.3829389107
21	0.3817346291
22	0.3811773026
23	0.3800378083
24	0.3784947414
25	0.3774465833
26	0.3757394949
27	0.3753134624
28	0.374353834
29	0.3720122324
30	0.3701330297
31	0.3697052339
32	0.368189039
33	0.3648483109
34	0.3644935491
35	0.3635853721
36	0.3629092442
37	0.3626374909
38	0.3605959212
39	0.3598243813
40	0.358961514
41	0.3567255303
42	0.3544347463
43	0.3525584718
44	0.3513297752
45	0.3499300284
46	0.3476730454
47	0.3472648264
48	0.3458363375
49	0.3451754136
50	0.3449636121
51	0.3442394912
52	0.3425880106
53	0.3424121473
54	0.3413331358
55	0.34055785
56	0.3403329064
