iter	Passed	Remaining
0	2	428
1	2	268
2	2	195
3	3	158
4	3	134
5	3	119
6	3	108
7	4	101
8	4	95
9	4	89
10	4	85
11	5	81
12	5	77
13	5	75
14	5	72
15	6	71
16	6	69
17	6	67
18	6	65
19	7	64
20	7	62
21	7	61
22	7	60
23	8	59
24	8	58
25	8	57
26	8	56
27	8	55
28	9	54
29	9	53
30	9	52
31	9	52
32	10	51
33	10	50
34	10	50
35	10	49
36	11	49
37	11	48
38	11	47
39	11	47
40	12	46
41	12	46
42	12	45
43	12	45
44	13	44
45	13	44
46	13	43
47	13	43
48	13	42
49	14	42
50	14	42
51	14	41
52	14	41
53	15	40
54	15	40
55	15	40
56	15	39
